Current dataset: FashionMNIST | Current depth: 3
Epoch 22 | Train Loss: 0.4924 | Test Accuracy: 83.00% | AUC: 0.9756
Epoch 23 | Train Loss: 0.4905 | Test Accuracy: 82.29% | AUC: 0.9757
Epoch 24 | Train Loss: 0.4850 | Test Accuracy: 83.09% | AUC: 0.9762
Epoch 25 | Train Loss: 0.4831 | Test Accuracy: 82.63% | AUC: 0.9762
Epoch 26 | Train Loss: 0.4795 | Test Accuracy: 83.18% | AUC: 0.9759
Epoch 27 | Train Loss: 0.4762 | Test Accuracy: 83.29% | AUC: 0.9768
Epoch 28 | Train Loss: 0.4719 | Test Accuracy: 83.59% | AUC: 0.9774
Epoch 29 | Train Loss: 0.4691 | Test Accuracy: 83.51% | AUC: 0.9777
Epoch 30 | Train Loss: 0.4687 | Test Accuracy: 83.22% | AUC: 0.9781
Epoch 31 | Train Loss: 0.4658 | Test Accuracy: 83.75% | AUC: 0.9777
Epoch 32 | Train Loss: 0.4623 | Test Accuracy: 83.99% | AUC: 0.9787
Epoch 33 | Train Loss: 0.4587 | Test Accuracy: 84.03% | AUC: 0.9794
Epoch 34 | Train Loss: 0.4545 | Test Accuracy: 84.13% | AUC: 0.9792
Epoch 35 | Train Loss: 0.4511 | Test Accuracy: 83.81% | AUC: 0.9792
Epoch 36 | Train Loss: 0.4469 | Test Accuracy: 84.10% | AUC: 0.9795
Epoch 37 | Train Loss: 0.4434 | Test Accuracy: 83.95% | AUC: 0.9800
Epoch 38 | Train Loss: 0.4415 | Test Accuracy: 84.66% | AUC: 0.9797
Epoch 39 | Train Loss: 0.4386 | Test Accuracy: 84.54% | AUC: 0.9794
Current dataset: MNIST | Current depth: 3
Epoch 0 | Train Loss: 1.8767 | Test Accuracy: 55.25% | AUC: 0.9236
Epoch 1 | Train Loss: 1.4740 | Test Accuracy: 58.00% | AUC: 0.9296
Epoch 2 | Train Loss: 1.2579 | Test Accuracy: 58.85% | AUC: 0.9348
Epoch 3 | Train Loss: 1.1330 | Test Accuracy: 59.17% | AUC: 0.9389
Epoch 4 | Train Loss: 1.0578 | Test Accuracy: 60.23% | AUC: 0.9426
Epoch 5 | Train Loss: 1.0079 | Test Accuracy: 61.87% | AUC: 0.9459
Epoch 6 | Train Loss: 0.9669 | Test Accuracy: 65.42% | AUC: 0.9555
Epoch 7 | Train Loss: 0.9063 | Test Accuracy: 74.27% | AUC: 0.9655
Epoch 8 | Train Loss: 0.8136 | Test Accuracy: 78.17% | AUC: 0.9696
Epoch 9 | Train Loss: 0.7356 | Test Accuracy: 78.62% | AUC: 0.9719
Epoch 10 | Train Loss: 0.6812 | Test Accuracy: 79.09% | AUC: 0.9741
Epoch 11 | Train Loss: 0.6487 | Test Accuracy: 80.31% | AUC: 0.9750
Epoch 12 | Train Loss: 0.6252 | Test Accuracy: 81.36% | AUC: 0.9769
Epoch 13 | Train Loss: 0.6045 | Test Accuracy: 81.68% | AUC: 0.9777
Epoch 14 | Train Loss: 0.5853 | Test Accuracy: 82.58% | AUC: 0.9787
Epoch 15 | Train Loss: 0.5690 | Test Accuracy: 83.65% | AUC: 0.9793
Epoch 16 | Train Loss: 0.5545 | Test Accuracy: 83.74% | AUC: 0.9796
Epoch 17 | Train Loss: 0.5401 | Test Accuracy: 85.29% | AUC: 0.9810
Epoch 18 | Train Loss: 0.5284 | Test Accuracy: 86.10% | AUC: 0.9817
Epoch 19 | Train Loss: 0.5159 | Test Accuracy: 86.92% | AUC: 0.9814
Epoch 20 | Train Loss: 0.5058 | Test Accuracy: 87.33% | AUC: 0.9826
Epoch 21 | Train Loss: 0.4978 | Test Accuracy: 87.29% | AUC: 0.9821
Epoch 22 | Train Loss: 0.4899 | Test Accuracy: 87.39% | AUC: 0.9824
Epoch 23 | Train Loss: 0.4838 | Test Accuracy: 87.28% | AUC: 0.9829
Epoch 24 | Train Loss: 0.4785 | Test Accuracy: 87.23% | AUC: 0.9830
Epoch 25 | Train Loss: 0.4738 | Test Accuracy: 88.16% | AUC: 0.9836
Epoch 26 | Train Loss: 0.4692 | Test Accuracy: 87.71% | AUC: 0.9829
Epoch 27 | Train Loss: 0.4652 | Test Accuracy: 87.77% | AUC: 0.9833
Epoch 28 | Train Loss: 0.4620 | Test Accuracy: 88.37% | AUC: 0.9832
Epoch 29 | Train Loss: 0.4599 | Test Accuracy: 88.00% | AUC: 0.9832
Epoch 30 | Train Loss: 0.4579 | Test Accuracy: 88.32% | AUC: 0.9842
Epoch 31 | Train Loss: 0.4551 | Test Accuracy: 88.63% | AUC: 0.9842
Epoch 32 | Train Loss: 0.4536 | Test Accuracy: 88.43% | AUC: 0.9846
Epoch 33 | Train Loss: 0.4507 | Test Accuracy: 88.61% | AUC: 0.9838
Epoch 34 | Train Loss: 0.4497 | Test Accuracy: 88.56% | AUC: 0.9845
Epoch 35 | Train Loss: 0.4482 | Test Accuracy: 88.02% | AUC: 0.9840
Epoch 36 | Train Loss: 0.4468 | Test Accuracy: 88.27% | AUC: 0.9839
Epoch 37 | Train Loss: 0.4446 | Test Accuracy: 88.17% | AUC: 0.9835
Epoch 38 | Train Loss: 0.4446 | Test Accuracy: 88.00% | AUC: 0.9844
Epoch 39 | Train Loss: 0.4431 | Test Accuracy: 88.37% | AUC: 0.9844
Current dataset: MNIST | Current depth: 5
Epoch 0 | Train Loss: 1.8639 | Test Accuracy: 79.15% | AUC: 0.9669
Epoch 1 | Train Loss: 1.3129 | Test Accuracy: 79.48% | AUC: 0.9728
Epoch 2 | Train Loss: 0.9948 | Test Accuracy: 79.81% | AUC: 0.9759
Epoch 3 | Train Loss: 0.8078 | Test Accuracy: 80.64% | AUC: 0.9778
Epoch 4 | Train Loss: 0.6929 | Test Accuracy: 81.82% | AUC: 0.9797
Epoch 5 | Train Loss: 0.6190 | Test Accuracy: 82.53% | AUC: 0.9807
Epoch 6 | Train Loss: 0.5638 | Test Accuracy: 83.45% | AUC: 0.9820
Epoch 7 | Train Loss: 0.5166 | Test Accuracy: 84.46% | AUC: 0.9836
Epoch 8 | Train Loss: 0.4819 | Test Accuracy: 84.88% | AUC: 0.9852
Epoch 9 | Train Loss: 0.4576 | Test Accuracy: 85.79% | AUC: 0.9861
Epoch 10 | Train Loss: 0.4398 | Test Accuracy: 86.64% | AUC: 0.9868
Epoch 11 | Train Loss: 0.4254 | Test Accuracy: 86.88% | AUC: 0.9877
Epoch 12 | Train Loss: 0.4046 | Test Accuracy: 91.61% | AUC: 0.9894
Epoch 13 | Train Loss: 0.3655 | Test Accuracy: 92.25% | AUC: 0.9913
Epoch 14 | Train Loss: 0.3292 | Test Accuracy: 92.78% | AUC: 0.9921
Epoch 15 | Train Loss: 0.3066 | Test Accuracy: 92.98% | AUC: 0.9926
Epoch 16 | Train Loss: 0.2928 | Test Accuracy: 93.24% | AUC: 0.9928
Epoch 17 | Train Loss: 0.2823 | Test Accuracy: 93.27% | AUC: 0.9929
Epoch 18 | Train Loss: 0.2739 | Test Accuracy: 93.47% | AUC: 0.9935
Epoch 19 | Train Loss: 0.2680 | Test Accuracy: 93.45% | AUC: 0.9936
Epoch 20 | Train Loss: 0.2633 | Test Accuracy: 93.37% | AUC: 0.9934
Epoch 21 | Train Loss: 0.2592 | Test Accuracy: 93.53% | AUC: 0.9937
Epoch 22 | Train Loss: 0.2547 | Test Accuracy: 93.53% | AUC: 0.9937
Epoch 23 | Train Loss: 0.2530 | Test Accuracy: 93.55% | AUC: 0.9940
Epoch 24 | Train Loss: 0.2496 | Test Accuracy: 93.58% | AUC: 0.9940
Epoch 25 | Train Loss: 0.2477 | Test Accuracy: 93.59% | AUC: 0.9940
Epoch 26 | Train Loss: 0.2453 | Test Accuracy: 93.46% | AUC: 0.9937
Epoch 27 | Train Loss: 0.2442 | Test Accuracy: 93.71% | AUC: 0.9940
Epoch 28 | Train Loss: 0.2418 | Test Accuracy: 93.58% | AUC: 0.9940
Epoch 29 | Train Loss: 0.2411 | Test Accuracy: 93.41% | AUC: 0.9938
Epoch 30 | Train Loss: 0.2387 | Test Accuracy: 93.65% | AUC: 0.9939
Epoch 31 | Train Loss: 0.2396 | Test Accuracy: 93.50% | AUC: 0.9941
Epoch 32 | Train Loss: 0.2369 | Test Accuracy: 93.83% | AUC: 0.9941
Epoch 33 | Train Loss: 0.2358 | Test Accuracy: 93.54% | AUC: 0.9943
Epoch 34 | Train Loss: 0.2348 | Test Accuracy: 93.74% | AUC: 0.9943
Epoch 35 | Train Loss: 0.2350 | Test Accuracy: 93.66% | AUC: 0.9941
Epoch 36 | Train Loss: 0.2340 | Test Accuracy: 93.43% | AUC: 0.9940
Epoch 37 | Train Loss: 0.2341 | Test Accuracy: 93.57% | AUC: 0.9941
Epoch 38 | Train Loss: 0.2331 | Test Accuracy: 93.69% | AUC: 0.9943
Epoch 39 | Train Loss: 0.2330 | Test Accuracy: 93.93% | AUC: 0.9943
Current dataset: MNIST | Current depth: 7
Epoch 0 | Train Loss: 1.8867 | Test Accuracy: 75.24% | AUC: 0.9623
Epoch 1 | Train Loss: 1.3103 | Test Accuracy: 79.30% | AUC: 0.9721
Epoch 2 | Train Loss: 0.9842 | Test Accuracy: 81.59% | AUC: 0.9753
Epoch 3 | Train Loss: 0.7945 | Test Accuracy: 80.08% | AUC: 0.9778
Epoch 4 | Train Loss: 0.6769 | Test Accuracy: 81.66% | AUC: 0.9808
Epoch 5 | Train Loss: 0.5871 | Test Accuracy: 87.56% | AUC: 0.9880
Epoch 6 | Train Loss: 0.4836 | Test Accuracy: 90.81% | AUC: 0.9920
Epoch 7 | Train Loss: 0.4024 | Test Accuracy: 93.09% | AUC: 0.9934
Epoch 8 | Train Loss: 0.3535 | Test Accuracy: 93.59% | AUC: 0.9938
Epoch 9 | Train Loss: 0.3219 | Test Accuracy: 94.03% | AUC: 0.9943
Epoch 10 | Train Loss: 0.3003 | Test Accuracy: 94.20% | AUC: 0.9944
Epoch 11 | Train Loss: 0.2827 | Test Accuracy: 94.21% | AUC: 0.9945
Epoch 12 | Train Loss: 0.2706 | Test Accuracy: 94.38% | AUC: 0.9949
Epoch 13 | Train Loss: 0.2595 | Test Accuracy: 94.44% | AUC: 0.9947
Epoch 14 | Train Loss: 0.2506 | Test Accuracy: 94.62% | AUC: 0.9948
Epoch 15 | Train Loss: 0.2434 | Test Accuracy: 94.55% | AUC: 0.9950
Epoch 16 | Train Loss: 0.2369 | Test Accuracy: 94.68% | AUC: 0.9948
Epoch 17 | Train Loss: 0.2323 | Test Accuracy: 94.92% | AUC: 0.9952
Epoch 18 | Train Loss: 0.2280 | Test Accuracy: 94.85% | AUC: 0.9951
Epoch 19 | Train Loss: 0.2240 | Test Accuracy: 94.92% | AUC: 0.9952
Epoch 20 | Train Loss: 0.2195 | Test Accuracy: 94.61% | AUC: 0.9952
Epoch 21 | Train Loss: 0.2173 | Test Accuracy: 94.91% | AUC: 0.9953
Epoch 22 | Train Loss: 0.2153 | Test Accuracy: 94.74% | AUC: 0.9952
Epoch 23 | Train Loss: 0.2133 | Test Accuracy: 94.92% | AUC: 0.9955
Epoch 24 | Train Loss: 0.2114 | Test Accuracy: 94.80% | AUC: 0.9953
Epoch 25 | Train Loss: 0.2094 | Test Accuracy: 94.89% | AUC: 0.9953
Epoch 26 | Train Loss: 0.2081 | Test Accuracy: 94.91% | AUC: 0.9955
Epoch 27 | Train Loss: 0.2074 | Test Accuracy: 94.85% | AUC: 0.9956
Epoch 28 | Train Loss: 0.2069 | Test Accuracy: 94.87% | AUC: 0.9957
Epoch 29 | Train Loss: 0.2049 | Test Accuracy: 94.97% | AUC: 0.9956
Epoch 30 | Train Loss: 0.2034 | Test Accuracy: 94.99% | AUC: 0.9956
Epoch 31 | Train Loss: 0.2039 | Test Accuracy: 95.01% | AUC: 0.9954
Epoch 32 | Train Loss: 0.2032 | Test Accuracy: 95.07% | AUC: 0.9956
Epoch 33 | Train Loss: 0.2024 | Test Accuracy: 95.03% | AUC: 0.9954
Epoch 34 | Train Loss: 0.2024 | Test Accuracy: 94.86% | AUC: 0.9956
Epoch 35 | Train Loss: 0.2011 | Test Accuracy: 94.79% | AUC: 0.9956
Epoch 36 | Train Loss: 0.2010 | Test Accuracy: 94.85% | AUC: 0.9955
Epoch 37 | Train Loss: 0.2006 | Test Accuracy: 94.90% | AUC: 0.9953
Epoch 38 | Train Loss: 0.2002 | Test Accuracy: 95.07% | AUC: 0.9956
Epoch 39 | Train Loss: 0.1995 | Test Accuracy: 94.93% | AUC: 0.9955
Current dataset: CIFAR10 | Current depth: 3
Epoch 0 | Train Loss: 2.1610 | Test Accuracy: 27.43% | AUC: 0.7560
Epoch 1 | Train Loss: 2.0269 | Test Accuracy: 30.83% | AUC: 0.7673
Epoch 2 | Train Loss: 1.9488 | Test Accuracy: 30.88% | AUC: 0.7777
Epoch 3 | Train Loss: 1.9009 | Test Accuracy: 31.15% | AUC: 0.7799
Epoch 4 | Train Loss: 1.8725 | Test Accuracy: 31.76% | AUC: 0.7817
Epoch 5 | Train Loss: 1.8504 | Test Accuracy: 31.31% | AUC: 0.7823
Epoch 6 | Train Loss: 1.8409 | Test Accuracy: 31.47% | AUC: 0.7816
Epoch 7 | Train Loss: 1.8262 | Test Accuracy: 31.11% | AUC: 0.7817
Epoch 8 | Train Loss: 1.8153 | Test Accuracy: 32.18% | AUC: 0.7864
Epoch 9 | Train Loss: 1.8078 | Test Accuracy: 31.63% | AUC: 0.7841
Epoch 10 | Train Loss: 1.7982 | Test Accuracy: 32.63% | AUC: 0.7861
Epoch 11 | Train Loss: 1.7942 | Test Accuracy: 31.78% | AUC: 0.7852
Epoch 12 | Train Loss: 1.7901 | Test Accuracy: 32.53% | AUC: 0.7885
Epoch 13 | Train Loss: 1.7812 | Test Accuracy: 33.08% | AUC: 0.7888
Epoch 14 | Train Loss: 1.7747 | Test Accuracy: 32.73% | AUC: 0.7887
Epoch 15 | Train Loss: 1.7744 | Test Accuracy: 33.29% | AUC: 0.7892
Epoch 16 | Train Loss: 1.7674 | Test Accuracy: 32.34% | AUC: 0.7898
Epoch 17 | Train Loss: 1.7668 | Test Accuracy: 33.28% | AUC: 0.7930
Epoch 18 | Train Loss: 1.7604 | Test Accuracy: 33.25% | AUC: 0.7916
Epoch 19 | Train Loss: 1.7527 | Test Accuracy: 33.30% | AUC: 0.7915
Epoch 20 | Train Loss: 1.7574 | Test Accuracy: 33.95% | AUC: 0.7947
Epoch 21 | Train Loss: 1.7528 | Test Accuracy: 33.14% | AUC: 0.7885
Epoch 22 | Train Loss: 1.7498 | Test Accuracy: 32.88% | AUC: 0.7885
Epoch 23 | Train Loss: 1.7455 | Test Accuracy: 33.43% | AUC: 0.7936
Epoch 24 | Train Loss: 1.7428 | Test Accuracy: 34.02% | AUC: 0.7951
Epoch 25 | Train Loss: 1.7443 | Test Accuracy: 33.68% | AUC: 0.7930
Epoch 26 | Train Loss: 1.7376 | Test Accuracy: 33.76% | AUC: 0.7931
Epoch 27 | Train Loss: 1.7357 | Test Accuracy: 33.76% | AUC: 0.7916
Epoch 28 | Train Loss: 1.7359 | Test Accuracy: 33.92% | AUC: 0.7936
Epoch 29 | Train Loss: 1.7341 | Test Accuracy: 33.89% | AUC: 0.7902
Epoch 30 | Train Loss: 1.7305 | Test Accuracy: 33.92% | AUC: 0.7940
Epoch 31 | Train Loss: 1.7325 | Test Accuracy: 34.10% | AUC: 0.7912
Epoch 32 | Train Loss: 1.7308 | Test Accuracy: 34.55% | AUC: 0.7982
Epoch 33 | Train Loss: 1.7252 | Test Accuracy: 33.90% | AUC: 0.7942
Epoch 34 | Train Loss: 1.7251 | Test Accuracy: 33.77% | AUC: 0.7922
Epoch 35 | Train Loss: 1.7247 | Test Accuracy: 34.34% | AUC: 0.7972
Epoch 36 | Train Loss: 1.7230 | Test Accuracy: 34.08% | AUC: 0.7953
Epoch 37 | Train Loss: 1.7239 | Test Accuracy: 33.93% | AUC: 0.7939
Epoch 38 | Train Loss: 1.7224 | Test Accuracy: 34.39% | AUC: 0.7976
Epoch 39 | Train Loss: 1.7210 | Test Accuracy: 34.20% | AUC: 0.7934
Current dataset: CIFAR10 | Current depth: 5
Epoch 0 | Train Loss: 2.1780 | Test Accuracy: 29.51% | AUC: 0.7686
Epoch 1 | Train Loss: 2.0258 | Test Accuracy: 31.60% | AUC: 0.7820
Epoch 2 | Train Loss: 1.9322 | Test Accuracy: 32.01% | AUC: 0.7908
